Time, In, Type, Out, Served, Server, Current Jobs
0.33615606257113784, 1, 3, , , , 1
0.3632387654798285, , , , 1, 2, 1
0.5965918186660049, , , 1, , 3, 0
4.589941699764463, 2, 2, , , , 1
9.893948248010709, 3, 3, , , , 2
9.902846067893417, , , , 3, 2, 2
10.265684239610868, 4, 2, , , , 3
13.318429448195978, 5, 2, , , , 4
13.457739847765719, , , 3, , 3, 3
13.582115502918771, 6, 1, , , , 4
14.221281151590176, , , , 2, 1, 4
14.233064930818175, , , , 5, 2, 4
14.346995820440966, , , , 6, 2, 4
14.8818454216742, 7, 2, , , , 5
15.49092684003488, , , 2, , 3, 4
16.866488154770046, , , 5, , 3, 3
17.286945587072232, , , , 4, 1, 3
17.32998928910145, , , 6, , 3, 2
17.850057501189642, , , , 7, 2, 2
18.119102756712508, , , 4, , 3, 1
19.294233498559414, , , 7, , 3, 0
